id,to,participation,weight,relation,count
Alan,Lemo,1,1,1,1
Alex,Lemo,1,1,1,1
Andr,Lemo,1,1,1,1
Anto,Lemo,1,1,1,1
Avey,Lemo,1,1,1,1
Bach,Lemo,1,1,1,1
Bell,Lemo,1,1,1,1
BenB,Lemo,1,1,1,1
Beyo,Lemo,7,5,2,10
BigB,Lemo,1,1,1,1
BOOT,Lemo,1,1,1,1
Bria,Lemo,1,1,1,1
Burt,Lemo,1,1,1,1
Carla,Lemo,1,1,1,1
Dann,Lemo,1,1,1,1
Dean,Lemo,1,1,1,1
Dian,Lemo,3,3,1,3
Dipl,Lemo,1,1,1,2
DJKh,Lemo,1,1,1,1
DocP,Lemo,1,1,1,1
Emil,Lemo,1,1,1,1
Ezra,Lemo,1,1,1,1
Fath,Lemo,1,1,1,1
Fran,Lemo,1,1,1,1
Geol,Lemo,1,1,1,1
HalD,Lemo,1,1,1,1
Ilse,Lemo,1,1,1,1
Ingr,Lemo,1,1,1,1
Jack,Lemo,1,1,3,1
James,Lemo,1,1,1,2
JamesP,Lemo,1,1,1,1
JohnB,Lemo,1,1,3,1
JohnL,Lemo,1,1,1,1
JohnP,Lemo,1,1,1,1
Jonn,Lemo,1,1,1,1
Jorda,Lemo,1,1,1,1
JRM,Lemo,1,1,1,1
Kare,Lemo,1,1,1,1
Kend,Lemo,1,1,3,1
KevinC,Lemo,1,1,1,1
KevinG,Lemo,1,1,1,1
KevinM,Lemo,1,1,1,1
Mali,Lemo,1,1,1,1
MeLo,Lemo,1,1,1,2
Midi,Lemo,1,1,1,1
MIKE,Lemo,1,1,1,1
MikeW,Lemo,1,1,1,1
MNEK,Lemo,1,1,1,1
Mort,Lemo,1,1,1,1
Nick,Lemo,1,1,1,1
Pand,Lemo,1,1,1,1
Plus,Lemo,1,1,1,1
R.Cit,Lemo,1,1,1,1
Robe,Lemo,1,1,1,1
Slee,Lemo,1,1,1,1
Slim,Lemo,1,1,1,1
Soul,Lemo,1,1,1,1
Swae,Lemo,1,1,1,1
The-D,Lemo,1,1,1,1
Ther,Lemo,1,1,1,1
TheW,Lemo,1,1,3,1
Timo,Lemo,1,1,1,1
Vinc,Lemo,1,1,1,1
Worl,Lemo,1,1,1,1
Davi,Blac,5,7,2,7
Paul,Blac,1,1,1,1
BobB,Blac,1,1,1,1
Mari,Blac,1,1,1,1
Budd,Blue,1,1,1,1
