id,to,weight,relation,participation,count
Adel,25,7,2,7,11
Brod,25,1,1,1,1
Brun,25,1,1,1,1
Dang,25,1,1,1,1
Greg,25,3,1,3,3
MaxM,25,1,1,1,1
Paul,25,1,1,1,2
Phil,25,1,1,1,1
Ryan,25,1,1,1,1
Samu,25,1,1,1,1
Shel,25,1,1,1,1
Tobi,25,1,1,1,1
AmyW,X,1,1,1,1
Benn,X,1,1,1,1
EdSh,X,7,2,7,12
FoyV,X,1,1,1,2
Gary,X,1,1,1,1
Johnny,X,3,1,3,5
Phar,X,1,3,1,2
Rudi,X,1,1,1,1
AliP,1989,1,1,1,1
Imog,1989,1,1,1,1
Jack,1989,1,1,1,2
MaxM,1989,3,1,5,7
Ryan,1989,1,1,1,2
Tayl,1989,7,2,7,13
Aria,Purp,1,3,1,1
AUGU,Purp,1,1,1,1
Benn,Purp,1,1,1,1
BigS,Purp,1,3,1,1
BigT,Purp,1,1,1,1
Bloo,Purp,3,1,3,3
Bran,Purp,1,1,1,1
Clar,Purp,1,1,1,1
Dipl,Purp,1,1,1,1
Domi,Purp,1,1,1,1
Eben,Purp,1,1,1,1
EdSh,Purp,1,1,1,1
Glad,Purp,1,1,1,1
IanK,Purp,1,1,1,1
Jame,Purp,1,1,1,1
Jere,Purp,1,1,1,1
Jhar,Purp,1,1,1,1
JimmyG,Purp,1,1,1,1
Jord,Purp,1,1,1,1
Josh,Purp,1,1,1,1
JuliaM,Purp,1,1,1,2
Just,Purp,7,2,7,14
JustinTr,Purp,1,1,1,1
Karl,Purp,1,1,1,1
Mark,Purp,1,1,1,1
MdL,Purp,1,1,1,2
MIKE,Purp,1,1,1,1
Nico,Purp,1,1,1,1
PooB,Purp,5,1,7,10
RonN,Purp,1,1,1,1
Sara,Purp,1,1,1,1
Scoo,Purp,1,1,1,1
Skri,Purp,3,1,3,5
Stev,Purp,1,1,1,1
Thom,Purp,1,1,1,1
Trav,Purp,1,3,1,1
SamS,InTh,7,10,7,2
TwoI,InTh,2,2,1,1
EgWh,InTh,2,2,1,1
Jeff,InTh,1,1,1,1
Jimm,InTh,2,2,1,1
Tour,InTh,1,1,1,1
TomP,InTh,1,1,1,1
Simo,InTh,1,1,1,1
Matt,InTh,1,1,1,1
Fras,InTh,1,1,1,1
Elvi,InTh,1,1,1,1
EdDr,Made,3,1,3,4
JohnR,Made,5,1,7,12
Juli,Made,5,1,7,13
Jami,Made,3,1,5,6
MoZe,Made,1,1,1,1
Jaco,Made,1,1,3,3
JesseS,Made,1,1,1,1
Loui,Made,3,2,5,7
Harr,Made,3,2,3,5
Lunc,Made,1,1,1,1
Wayn,Made,3,1,3,4
Liam,Made,3,2,5,6
Joha,Made,1,1,1,1
Ross,Made,1,1,1,1
Nial,Made,3,2,3,4
MikeN,Made,1,1,1,1
Dani,Made,1,1,1,1
Amma,Made,1,1,1,1
TMS,Made,1,1,1,1
IanF,Made,1,1,1,1
Andr,Made,1,1,1,1
WillChampl,Made,1,1,1,1
AliP,Fift,1,1,1,1
Aman,Fift,1,1,1,1
Barn,Fift,1,1,1,1
Bell,Fift,1,1,1,2
BenV,Fift,1,1,1,1
Beyo,Fift,1,1,1,2
Blyt,Fift,1,1,1,1
BOOT,Fift,1,1,1,1
Bria,Fift,1,1,1,1
Bruc,Fift,1,1,1,1
Caro,Fift,1,1,1,1
CyCo,Fift,1,1,1,1
DaHe,Fift,1,1,1,1
Dann,Fift,1,1,1,2
DaveO,Fift,1,1,1,1
Devo,Fift,1,1,1,1
Emil,Fift,1,1,1,1
Euge,Fift,1,1,1,1
Gera,Fift,1,1,1,1
ILYA,Fift,1,1,1,1
JAYZ,Fift,1,1,1,1
JessieW,Fift,1,1,1,1
Keit,Fift,1,1,1,1
Laur,Fift,1,1,1,1
MaxM,Fift,1,1,1,1
Mick,Fift,1,1,1,1
MIKE,Fift,1,1,1,1
Oliv,Fift,1,1,1,1
Rich,Fift,1,1,1,1
Sava,Fift,1,1,1,1
Scre,Fift,1,1,1,1
Sia,Fift,1,1,1,1
Skyl,Fift,1,1,1,1
Step,Fift,1,1,1,2
TheW,Fift,1,1,1,2
Tove,Fift,1,1,1,1
ChrisM,Ahea,5,2,7,10
GuyB,Ahea,5,2,7,10
JohnN,Ahea,1,1,1,1
Jonn,Ahea,5,2,7,10
Mikk,Ahea,1,1,1,1
Rumi,Ahea,1,1,1,2
TorE,Ahea,1,1,1,1
WillC,Ahea,5,2,7,10
BenF,Titl,1,1,1,1
Bret,Titl,1,1,1,1
Cait,Titl,1,1,1,1
Chri,Titl,1,1,1,1
Dave,Titl,1,1,1,1
James,Titl,1,1,1,1
Jess,Titl,1,1,1,1
JustinW,Titl,1,1,1,1
Kare,Titl,1,1,1,1
Kevi,Titl,3,1,5,7
MattM,Titl,1,1,1,1
Megh,Titl,5,2,7,14
ShyC,Titl,1,3,1,1
Todd,Titl,1,1,1,1
AliK,Beau,1,1,1,1
AliP,Beau,3,1,3,3
Bell,Beau,3,1,3,5
BenB,Beau,3,1,3,4
Carl,Beau,1,1,1,1
CheP,Beau,1,1,1,1
DaHe,Beau,3,1,5,6
DannyB,Beau,3,1,3,4
DJKh,Beau,1,1,1,1
EdSh,Beau,1,3,1,1
Illa,Beau,3,1,5,6
Kany,Beau,1,1,1,1
Labr,Beau,1,3,1,1
Lana,Beau,1,3,1,1
Mano,Beau,1,1,1,1
MaxM,Beau,1,1,1,2
MIKE,Beau,1,1,1,1
Noah,Beau,1,1,1,1
Osma,Beau,1,1,1,1
Pete,Beau,3,1,3,3
Robe,Beau,1,1,1,1
Sabah,Beau,1,1,1,1
Sava,Beau,3,1,3,3
Step,Beau,3,1,3,3
TheW,Beau,7,2,7,14
Thom,Beau,1,1,1,1
