Nodelist,,,,,,,,,
id,name,type,sex,origin,genre,language,year,second year,track
25,25 by Adele,2,NA,NA,1,1,2016,2017,11
1989,1989 by Taylor Swift,2,NA,NA,1,1,2016,,13
Adel,Adele,1,1,1,NA,NA,NA,,
Ahea,A head full of dreams by Coldplay,2,NA,NA,1,1,2016,2017,12
AliK,Ali Kocatepe,1,2,,NA,NA,NA,,
AliP,Ali Payami,1,2,10,NA,NA,NA,,
Aman,Amanda Ghost,1,1,1,NA,NA,NA,,
Amma,Ammar Malik,1,2,2,NA,NA,NA,,
AmyW,Amy Wadge,1,1,1,NA,NA,NA,,
Andr,Andrew Haas,1,,2,NA,NA,NA,,
Aria,Ariana Grande,1,1,2,NA,NA,NA,,
AUGU,AUGUST 08,1,2,2,NA,NA,NA,,
Barn,Barney Freeman,1,2,,NA,NA,NA,,
Beau,Beauty behind the madness by the weeknd,2,NA,NA,1,1,2016,,14
Bell,Belly,1,2,10,NA,NA,NA,,
BenB,Ben Billions,1,,,NA,NA,NA,,
BenF,Ben Fagan,1,2,2,NA,NA,NA,,
Benn,Benny Blanco,1,2,1,NA,NA,NA,,
BenV,Ben Vella,1,,,NA,NA,NA,,
Beyo,Beyoncé,1,1,2,NA,NA,NA,,
BigS,Big Sean,1,2,2,NA,NA,NA,,
BigT,Big Taste,1,2,,NA,NA,NA,,
Bloo,BloodPop,1,2,2,NA,NA,NA,,
Blyt,Blythe Pepino,1,1,,NA,NA,NA,,
BOOT,BOOTS,1,2,,NA,NA,NA,,
Bran,Brandon Green,1,2,2,NA,NA,NA,,
Bret,Brett James,1,2,,NA,NA,NA,,
Bria,Brian West,1,2,7,NA,NA,NA,,
Brod,Brody Brown,1,2,2,NA,NA,NA,,
Bruc,Bruce Springsteen,1,2,2,NA,NA,NA,,
Brun,Bruno Mars,1,2,2,NA,NA,NA,,
Cait,Caitlyn Smith,1,1,2,NA,NA,NA,,
Carl,Carl Marshall,1,,,NA,NA,NA,,
Caro,Carolyn Leigh,1,1,2,NA,NA,NA,,
CheP,Che Pope,1,,,NA,NA,NA,,
