id,name,type,sex,origin,genre,language,year,track,second year
25,25 by Adele,2,NA,NA,1,1,2016,11,2017
40,40,1,2,7,NA,NA,NA,NA,NA
1989,1989 by Taylor Swift,2,NA,NA,1,1,2016,13,
Adam,Adam Martin,1,2,8,NA,NA,NA,,NA
Adel,Adele,1,1,1,NA,NA,NA,,
Ahea,A head full of dreams by Coldplay,2,NA,NA,1,1,2016,12,2017
Aion,Aion Clarke,1,,,NA,NA,NA,,NA
Alan,Alan Lomax,1,,,NA,NA,NA,NA,NA
Alex,Alex Delicata,1,,,NA,NA,NA,NA,NA
AliK,Ali Kocatepe,1,2,,NA,NA,NA,,
AliP,Ali Payami,1,2,10,NA,NA,NA,,
Alle,Allen Ritter,1,2,2,NA,NA,NA,,NA
Aman,Amanda Ghost,1,1,1,NA,NA,NA,,
Amma,Ammar Malik,1,2,2,NA,NA,NA,,
AmyW,Amy Wadge,1,1,1,NA,NA,NA,,
AndrewH,Andrew Haas,1,,2,NA,NA,NA,,
Andr,André 3000,1,,,NA,NA,NA,NA,NA
Andre,Andrew Thomas,1,,,NA,NA,NA,,NA
Anne,Anne Dudley,1,1,1,NA,NA,NA,NA,NA
Anth,Anthony Fields,1,2,8,NA,NA,NA,NA,NA
Anto,Antonio Randolph,1,,,NA,NA,NA,NA,NA
Apen,A Pentatonix Chrismas by Pentatonix,2,NA,NA,13,1,2017,11,NA
Aqua,Aquaman,1,,,NA,NA,NA,,NA
Aria,Ariana Grande,1,1,2,NA,NA,NA,,
AUGU,AUGUST 08,1,2,2,NA,NA,NA,,
Avey,Avey Tare,1,2,2,NA,NA,NA,NA,NA
Axel,Axel Morgan (Singer),1,2,NA,NA,NA,NA,NA,NA
Bach,Bacharach & David,1,,,NA,NA,NA,NA,NA
Barn,Barney Freeman,1,2,,NA,NA,NA,,
Beau,Beauty behind the madness by the weeknd,2,NA,NA,1,1,2016,14,
Been,Beenie Man,1,2,10,NA,NA,NA,,NA
Bell,Belly,1,2,10,NA,NA,NA,,
BenB,Ben Billions,1,2,,NA,NA,NA,NA,NA
BenF,Ben Fagan,1,2,2,NA,NA,NA,,
Benn,Benny Blanco,1,2,1,NA,NA,NA,,
BenV,Ben Vella,1,,,NA,NA,NA,,
Beyo,Beyoncé,1,1,2,NA,NA,NA,NA,NA
BigB,Big Boi,1,,,NA,NA,NA,NA,NA
BigS,Big Sean,1,2,2,NA,NA,NA,,
BigT,Big Taste,1,2,,NA,NA,NA,,
Blac,Blackstar by David Bowie,2,NA,NA,5,1,2017,7,NA
Bloo,BloodPop,1,2,2,NA,NA,NA,,
Blue,Blue u Lonesome by The Rolling Stones,2,NA,NA,14,1,2017,12,NA
Blur,Blurryface by Twenty One Pilots,2,NA,NA,5,1,2017,14,NA
Blyt,Blythe Pepino,1,1,,NA,NA,NA,,
BobB,Bob Bharma,1,2,1,NA,NA,NA,NA,NA
Boi-1,Boi-1da,1,2,10,NA,NA,NA,NA,NA
BOOT,BOOTS,1,2,,NA,NA,NA,NA,NA
Brando,Brandon Green,1,2,2,NA,NA,NA,,
Bran,Brandy,1,1,2,NA,NA,NA,,NA
Bret,Brett James,1,2,,NA,NA,NA,,
BrianW,Brian West,1,2,7,NA,NA,NA,,
Bria,Brian Chase,1,2,2,NA,NA,NA,NA,NA
Brian,Brian Alexander Morgan,1,2,2,NA,NA,NA,NA,NA
Broc,Brock Korsan,1,2,NA,NA,NA,NA,,NA
Brod,Brody Brown,1,2,2,NA,NA,NA,,
Bruc,Bruce Springsteen,1,2,2,NA,NA,NA,,
Brun,Bruno Mars,1,2,2,NA,NA,NA,,
Brya,Bryan-Michael Cox,1,2,2,NA,NA,NA,NA,NA
Buck,Buck Ram,1,2,2,NA,NA,NA,NA,NA
Budd,Buddy Johnson,1,2,2,NA,NA,NA,NA,NA
Buff,Buff Love,1,2,2,NA,NA,NA,,NA
Burt,Burt Bacharach,1,2,2,NA,NA,NA,NA,NA
Cait,Caitlyn Smith,1,1,2,NA,NA,NA,,
Card,Cardo,1,2,2,NA,NA,NA,,NA
Cardi,Cardiak,1,2,2,NA,NA,NA,NA,NA
CarlM,Carl Marshall,1,,,NA,NA,NA,,
Carl,Carl Thompson,1,,,NA,NA,NA,NA,NA
Carla,Carla Marie,1,,,NA,NA,NA,NA,NA
Caro,Carolyn Leigh,1,1,2,NA,NA,NA,,
CatD,Cat Daddy Ro,1,NA,NA,NA,NA,NA,,NA
CheP,Che Pope,1,,,NA,NA,NA,,
Chri,Chris Gelbuda,1,2,2,NA,NA,NA,,
ChrisM,Chris Martin,1,2,1,NA,NA,NA,,
Clar,Clarence Coffee Jr.,1,2,2,NA,NA,NA,,
Crai,Craig Harrisingh,1,2,NA,,,,,
Curt,Curtis ‘Sauce‘ Wilson,1,2,NA,NA,NA,NA,,NA
CyCo,Cy Coleman,1,2,2,NA,NA,NA,,
DaHe,DaHeala,1,2,7,NA,NA,NA,,
Damo,Damon Yul „Kool Rock-Ski“ Wimbley,1,2,,,,,,
Dang,Danger Mouse,1,2,2,NA,NA,NA,,
DanielB,Daniel Bryer,1,2,1,NA,NA,NA,,
Dani,Daniel Daley,1,2,7,NA,NA,NA,NA,NA
DannyE,Danny Elfman,1,2,2,NA,NA,NA,,
Dann,DannyBoyStyles,1,2,2,NA,NA,NA,NA,NA
Darr,Darren Robinson,1,2,,,,,,
DaveR,Dave Rodriguez,1,,,NA,NA,NA,,
Dave,Dave Goode,1,2,NA,NA,NA,NA,NA,NA
DaveO,Dave Okumu,1,2,10,NA,NA,NA,,
Davi,David Bowie,1,2,1,NA,NA,NA,NA,NA
DavidC,David Carty,1,2,,NA,NA,NA,NA,NA
DavidH,David Harrisingh,1,2,,NA,NA,NA,NA,NA
Daxz,Daxz,1,NA,NA,NA,NA,NA,,NA
Dean,Dean McIntosh,1,,,NA,NA,NA,NA,NA
Devi,Devin Goode,1,2,NA,NA,NA,NA,NA,NA
Devo,Devonte Hynes,1,2,1,NA,NA,NA,,
Dian,Diana Wynter Gordon,1,1,2,NA,NA,NA,NA,NA
Didd,Diddy,1,2,2,NA,NA,NA,NA,NA
DiGe,Di Genius,1,2,10,NA,NA,NA,,NA
Dipl,Diplo,1,2,2,NA,NA,NA,,
DJDa,DJ Dahi,1,2,2,NA,NA,NA,NA,NA
DJKh,DJ Khaled,1,2,2,NA,NA,NA,NA,NA
DJMa,DJ Maphorisa,1,2,10,NA,NA,NA,NA,NA
DJPa,DJ Paleface,1,NA,NA,NA,NA,NA,NA,NA
DocP,Doc Pomus,1,2,2,NA,NA,NA,NA,NA
Domi,Dominic Jordan,1,2,2,NA,NA,NA,,
Dona,Donald Dennis,1,,,NA,NA,NA,NA,NA
Drak,Drake,1,2,7,NA,NA,NA,NA,NA
DreS,Dre Skull,1,2,2,NA,NA,NA,NA,NA
Eben,Eben Wares,1,2,,NA,NA,NA,,
Eddi,Eddie Taylor,1,2,2,NA,NA,NA,NA,NA
EdDr,Ed Drewett,1,2,1,NA,NA,NA,,
Edga,Edgar Key,1,,,NA,NA,NA,NA,NA
EdSh,Ed Sheeran,1,2,1,NA,NA,NA,,
EgWh,Eg White,1,2,1,NA,NA,NA,,
Elvi,Elvin Smith,1,2,1,NA,NA,NA,,
Emil,Emile Haynie,1,2,2,NA,NA,NA,NA,NA
Erro,Errol Reid,1,,,NA,NA,NA,,NA
Euge,Eugene Record,1,2,2,NA,NA,NA,,
Ewar,Ewart Abner,1,2,2,NA,NA,NA,NA,NA
Ezra,Ezra Koenig,1,2,2,NA,NA,NA,NA,NA
Fait,Faith Evans,1,1,2,NA,NA,NA,NA,NA
Fath,Father John Misty,1,2,2,NA,NA,NA,NA,NA
Fift,Fifty Shades of grey by various artists,2,NA,NA,12,1,2016,16,
Fluk,Flukes,1,,,NA,NA,NA,,NA
FoyV,Foy Vance,1,2,1,NA,NA,NA,,
Fran,Frank Tirado,1,,,NA,NA,NA,NA,NA
Frank,Frank Dukes,1,2,7,NA,NA,NA,,NA
Fras,Fraser T. Smith,1,2,1,NA,NA,NA,,
Fred,Fred Jerkins III,1,2,2,NA,NA,NA,NA,NA
Futu,Future,1,2,2,NA,NA,NA,NA,NA
Garu,Garu Jackson,1,2,2,NA,NA,NA,,NA
Gary,Gary Lightbody,1,2,1,NA,NA,NA,,
Geol,Geologist,1,2,2,NA,NA,NA,NA,NA
Gera,Gerald Eaton,1,2,10,NA,NA,NA,,
Glad,Gladius,1,2,,NA,NA,NA,,
Greg,Greg Kurstin,1,2,2,NA,NA,NA,,
GuyB,Guy Berryman,1,2,1,NA,NA,NA,,
HalD,Hal David,1,2,2,NA,NA,NA,NA,NA
Harr,Harry Syles,1,2,1,NA,NA,NA,,
Howl,Howlin‘Wolf,1,2,2,NA,NA,NA,NA,NA
IanF,Ian Franzino,1,2,2,NA,NA,NA,,
IanK,Ian Kirkpatrick,1,2,10,NA,NA,NA,,
Illa,Illangelo,1,,,NA,NA,NA,,
Ilse,Ilsey,1,,,NA,NA,NA,NA,NA
ILYA,ILYA,1,2,9,NA,NA,NA,,
Imog,Imogen Heap,1,1,1,NA,NA,NA,,
Ingr,Ingrid,1,,,NA,NA,NA,NA,NA
InTh,In The Lonely Hour by Sam Smith,2,NA,NA,1,1,2016,10,
Irvi,Irving Berlin,1,2,10,NA,NA,NA,NA,NA
JackA,Jack Antonoff,1,2,2,NA,NA,NA,,
Jack,Jack White,1,2,2,NA,NA,NA,NA,NA
Jaco,Jacob Kasher,1,2,2,NA,NA,NA,,
Jame,James Worthy,1,2,2,NA,NA,NA,,
JamesG,James G. Morales,1,2,,NA,NA,NA,,
James,James Blake,1,2,1,NA,NA,NA,NA,NA
JamesP,James Page,1,2,1,NA,NA,NA,NA,NA
Jami,Jamie Scott,1,2,1,NA,NA,NA,,
JAY-Z,JAY-Z,1,2,2,NA,NA,NA,,NA
JCCh,J.C. Chasez,1,2,2,NA,NA,NA,NA,NA
Jeff,Jeff Lynne,1,2,1,NA,NA,NA,,
Jere,Jeremy Snyder,1,2,,NA,NA,NA,,
Jerr,Jerry West,1,2,2,NA,NA,NA,NA,NA
Jess,Jesse Frasure,1,,,NA,NA,NA,,
JesseS,Jesse Shatkin,1,2,2,NA,NA,NA,,
JessieW,Jessie Ware,1,1,1,NA,NA,NA,,
